account_number,bank_code,amount,reference_id
AFTPQ469BEIKH,044,198457.7,BAD667949
D5QGCVJO,214,449694.13,TX177355
38LR29IJBOCS,215,363645.67,TX243819
IT19UFJGQAI5SZKSHQ7GF49UFC1,,5299.26,TX443919
7741418714,058,173767.27,TX148988
$$#VG1Q12D,044,142408.01,BAD482783
8G6WEDTU2V,215,458998.57,TX548290
3100857600,232,412552.89,TX662072
P3IB16YUJX,058,100000000.0,BAD970134
779553268994,003,134948.15,TX911365
13770,044,96340.1,BAD915409
492074223,215,268906.51,TX665326
TG7TZH2M,215,328395.4,TX768372
075341370510,215,170239.54,TX250737
CL147158,002,180237.96,TX595899
691175585,070,283961.87,BAD793306
2ONZVSQ314XTUK1M,070,110151.56,BAD875364
DJAVMEFG,232,329837.18,TX658629
69UKFI61,215,302996.88,TX601472
778620835555,003,334819.56,BAD403436
CH73HAP4K88UD29F98UJO,,157336.22,TX321192
BV487590,002,275431.67,TX736026
4658126983,001,277846.06,
21507264899,082,301766.89,
ITPSDZ33VRE,232,105490.15,BAD282730
036P5I,214,154295.89,BAD754936
NL34TXQTFEL3HXQDKK,,391634.82,BAD817855
G6QLCS74GU,044,202256.1,BAD318450
998005026,082,75245.59,TX782468
PL87F6HRQZUJVZQ3NEEVA102TXFLQY,,280181.48,BAD304124
24659825627DWG5,214,302605.67,BAD442216
LV42202,002,189919.62,BAD763908
CXO5QEQBH,058,164020.69,TX811186
UQBSOKD9,214,16523.4,TX502690
941265916,214,30277.77,TX142639
HPPAPF,232,418216.6,BAD355855
ZZ301886,002,232686.36,BAD906231
520880785649,232,100000000.0,BAD667502
CH96N3XCOMY1SV5IPSRS6,,309503.67,TX609925
VV138543,002,499553.82,BAD577756
3408043457,082,362975.38,TX440953
81362290ZX,058,257242.0,BAD339854
TX848338,002,36351.6,TX306700
TOLEESJQX,070,265750.69,BAD853931
HAA74H2PMKTF,058,254376.22,BAD443872
VH518170,002,276907.37,TX135367
655245,214,105245.43,BAD676353
CTI92WIT9KR,044,160991.77,TX992413
IB259869,002,125054.09,TX508864
ZWML8#HI,044,278322.69,BAD760082
66Y1YUHNND2E,058,407905.3,
RS7J2NKQ,082,-100,BAD425656
D8PST,058,16033.62,BAD749240
IT426ZS1XO38BWFSY5U8ATV2HJM,,237751.76,TX959755
VTDYPMLA4BR02,082,185996.9,BAD198008
RE197027,002,487743.58,TX429589
OXXJPG0QH,215,315111.24,TX911884
PBR4XRSR,044,307736.74,
30166225369,044,167270.33,BAD614620
775843437882,003,372943.59,TX182676
BOT2OJ57Q4M,044,177171.35,TX326821
DE29L6LJ9IGYM1N3OPWT61,,449466.5,TX388053
427340983,232,163333.69,TX376255
DHQTQ0A7G,082,105135.77,TX792405
DE44CK8SLFVNVNV98MVHPN,,462878.98,TX648625
RAY0OONZ7I,214,125569.05,TX488067
0558117141,001,354814.99,TX188814
GB210JEPCIJV5NLJTAH1MV,,199304.29,TX913313
3TT6OE02LA0,082,22878.7,TX318088
5885071664,001,437543.66,TX884034
083913735223,044,366102.37,BAD259651
157225844429,215,203581.75,TX333248
96683397,232,72199.2,TX720498
329249180,044,233956.84,TX593384
771437067566,003,14019.04,TX177032
FR35LJCX4KY3YVRSOWEVDWDURHX,,296558.41,TX867797
0HAJHBDE,044,408826.61,TX855318
773744464458,003,256228.32,TX381919
SE17FJT0OG4JG2YL0VBOZW4W5T,,411446.49,BAD623390
PL53MG0ZI2MX98TKLC4TIOQ5YWAD,,51102.35,TX543066
9316645994,001,122665.27,TX768493
HPHQVQPK2H1,082,106837.35,TX614586
52028200,082,219666.04,TX855697
JT692031,002,17259.5,TX142897
DPANLRGQ,215,355301.68,TX505214
975553,070,216076.38,BAD808301
LT0XMFEM,044,497631.79,TX456671
2C58KZC799,058,434011.85,BAD873259
55178338,214,446922.72,TX792512
NL550TTGZ2HP5F7K0B,,44742.96,TX122274
778252759663,003,0,BAD882691
2712708037,082,81072.89,TX871978
H4B4G1,044,21815.44,BAD209244
CDE2BHKC0IX4,214,12237.01,TX489164
F7D0VWT4,232,317768.13,TX364519
QBUMPUB20S,215,339431.79,TX361706
NSKSV9MZQ4LH,070,247036.01,TX378534
BE05BRHSO9TR99BW,,162803.2,TX598713
298931321,082,373575.53,
5664830,082,171607.14,BAD354315
61559695,058,60910.22,TX854425
OBNPH6BEGZ,214,175330.47,TX775081
5759023036,001,244719.11,TX435580
633627731,070,406571.17,TX986540
DE71TWXX799S0AFNFJYM,,258470.4,BAD299184
LK816103,002,275070.55,TX130909
FZSMQ8UR,215,440414.31,TX258541
IT38NT0H16L669X1WDGLY49VHKK,,136542.58,TX631118
PVN31PQ73VVV,232,182673.02,TX413567
MDDL47AP,044,157533.35,
AC64QR4O7P,214,337665.65,BAD411695
522697756977,214,14810.45,TX315196
IT07KN2P3G454DXAXFOFOJ8VUD9,,317436.15,TX212065
LFW3MPE94V6Y,214,217963.58,TX402253
HAGV27GDC7Q,214,391737.19,TX138689
684210118635,232,109824.95,TX341026
W1694IF6K6O,214,443359.97,BAD179782
111804544681CG,082,146313.84,BAD741532
ER0@RA6ZMI,058,96981.69,BAD890651
1FITVGPL5F5,070,360598.86,BAD693761
4763819643,001,451871.11,
BE87J5ODMJM4XT4Z,,161755.44,TX315400
GB94MUX6GX6NPON0DW4NNH,,477948.16,TX555698
4722689868,044,379046.93,TX915449
23287687440,214,125359.56,TX685517
GB02OBHAXW74DXT8JAUR0Z,,306570.3,TX872004
61773574825,082,-100,BAD578547
14248468300,070,405868.98,TX544068
7XQ2N5TUG5W9,215,365253.89,BAD840863
J8CABJQAKA2,215,160766.76,TX913382
ELZWVUOG4W,058,318208.29,TX361615
TQ9SC1#UR,082,349102.82,BAD678680
YQ684812,002,156935.3,TX223798
ESOLMPT4F,215,180716.28,TX663749
ERIUG8R9,058,183070.07,TX235522
GCB4244E,058,47652.84,TX257885
36B98U97P2X,215,18107.18,TX247297
OKRTIH18G25WR,082,137730.56,BAD652519
7648124605,058,302718.48,TX830907
OQ167TTMQEN,215,200872.39,BAD606021
776624986483,003,200217.67,TX745639
03367028329897QS,232,314657.1,BAD787739
CZXXU2VY,214,160039.78,TX911365
PL06ZST95CSTTAYDYZOI3A0W8CS3,,419490.13,TX332955
18922913,070,214462.56,
13142241218,215,401039.5,TX649616
O0ZVQ9L6,082,390965.85,TX689528
TMEUHQSO5A1,215,-100,BAD515896
DE90DTD97UZCF2Z6AMFJQZ,,191694.08,TX656087
07930193,044,170868.57,
RQ812189,002,388732.22,BAD628309
778976328808,003,62406.81,TX226758
IT049HX482AK2GYV65Z95YVEIEN,,454127.75,TX929606
78A24QQF5J0,214,321315.83,TX860689
ZTZK2RKU,232,290051.82,BAD389822
16HBYANEY3,232,182232.37,TX994142
CHHSN,058,227012.97,BAD145652
ES48DBNL3SSB9Q2EXQCXG2UH,,86292.49,TX869779
X34P3A9OKEE,082,3031.51,BAD446441
84244696136,082,153872.78,TX709683
2123090751,082,345251.61,TX927648
FR679FFAJ8ARPYUCMFAFFL2324A,,441065.77,BAD891669
2184788623,001,495252.31,TX391572
MH970887,002,-100,BAD184943
76723837,070,463949.41,TX412954
0UI4XRCGM8R7AP,232,498339.65,BAD286341
591202348077,058,227353.86,TX789701
65717887665,215,223723.85,TX628883
AHX2QV70,058,345126.15,TX926237
WQJ3X9QB7,215,421245.22,TX238800
ES68HEVC9MDGOQ0448BHR6MD,,176467.52,TX102294
45206568220,058,240167.88,TX269688
SE63D4AU489C3EDETJGRW0V7,,485433.52,TX726143
9150923375,001,123576.08,TX377584
